,PATTERN,message,@timestamp,message_only_1,logLevel,thread,class_name_method_name
11,Get Subscription & Device Error 404,"""2022-02-23 16:52:54.244  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469794)\""}]\n""",2022-02-23T16:52:54.244000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469794)\""}]\n""",INFO,nio-8080-exec-9,.w.r.s.m.s.SubscriptionManagementService
12,Get Subscription & Device Error 404,"""2022-02-23 16:52:54.026  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469771)\""}]\n""",2022-02-23T16:52:54.026000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469771)\""}]\n""",INFO,nio-8080-exec-6,.w.r.s.m.s.SubscriptionManagementService
13,Get Subscription & Device Error 404,"""2022-02-23 16:52:53.810  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469767)\""}]\n""",2022-02-23T16:52:53.810000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469767)\""}]\n""",INFO,nio-8080-exec-7,.w.r.s.m.s.SubscriptionManagementService
14,Get Subscription & Device Error 404,"""2022-02-23 16:52:53.574  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469754)\""}]\n""",2022-02-23T16:52:53.574000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469754)\""}]\n""",INFO,nio-8080-exec-5,.w.r.s.m.s.SubscriptionManagementService
15,Get Subscription & Device Error 404,"""2022-02-23 16:52:53.351  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469751)\""}]\n""",2022-02-23T16:52:53.351000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469751)\""}]\n""",INFO,nio-8080-exec-3,.w.r.s.m.s.SubscriptionManagementService
16,Get Subscription & Device Error 404,"""2022-02-23 16:52:53.126  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469650)\""}]\n""",2022-02-23T16:52:53.126000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469650)\""}]\n""",INFO,nio-8080-exec-4,.w.r.s.m.s.SubscriptionManagementService
17,Get Subscription & Device Error 404,"""2022-02-23 16:52:52.889  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469638)\""}]\n""",2022-02-23T16:52:52.889000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469638)\""}]\n""",INFO,nio-8080-exec-2,.w.r.s.m.s.SubscriptionManagementService
18,Get Subscription & Device Error 404,"""2022-02-23 16:52:52.661  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469636)\""}]\n""",2022-02-23T16:52:52.661000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469636)\""}]\n""",INFO,nio-8080-exec-1,.w.r.s.m.s.SubscriptionManagementService
19,Get Subscription & Device Error 404,"""2022-02-23 16:52:52.444  INFO 1 --- [io-8080-exec-10] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469632)\""}]\n""",2022-02-23T16:52:52.444000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469632)\""}]\n""",INFO,io-8080-exec-10,.w.r.s.m.s.SubscriptionManagementService
20,Get Subscription & Device Error 404,"""2022-02-23 16:52:52.209  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469631)\""}]\n""",2022-02-23T16:52:52.210000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469631)\""}]\n""",INFO,nio-8080-exec-8,.w.r.s.m.s.SubscriptionManagementService
21,Get Subscription & Device Error 404,"""2022-02-23 16:52:51.985  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469630)\""}]\n""",2022-02-23T16:52:51.985000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469630)\""}]\n""",INFO,nio-8080-exec-9,.w.r.s.m.s.SubscriptionManagementService
22,Get Subscription & Device Error 404,"""2022-02-23 16:52:51.757  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469629)\""}]\n""",2022-02-23T16:52:51.758000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469629)\""}]\n""",INFO,nio-8080-exec-6,.w.r.s.m.s.SubscriptionManagementService
23,Get Subscription & Device Error 404,"""2022-02-23 16:52:51.534  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469628)\""}]\n""",2022-02-23T16:52:51.534000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469628)\""}]\n""",INFO,nio-8080-exec-7,.w.r.s.m.s.SubscriptionManagementService
24,Get Subscription & Device Error 404,"""2022-02-23 16:52:51.309  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469627)\""}]\n""",2022-02-23T16:52:51.309000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469627)\""}]\n""",INFO,nio-8080-exec-5,.w.r.s.m.s.SubscriptionManagementService
25,Get Subscription & Device Error 404,"""2022-02-23 16:52:51.089  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469593)\""}]\n""",2022-02-23T16:52:51.089000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469593)\""}]\n""",INFO,nio-8080-exec-3,.w.r.s.m.s.SubscriptionManagementService
26,Get Subscription & Device Error 404,"""2022-02-23 16:52:50.875  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469553)\""}]\n""",2022-02-23T16:52:50.875000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469553)\""}]\n""",INFO,nio-8080-exec-4,.w.r.s.m.s.SubscriptionManagementService
