message,PATTERN,@timestamp
"""2022-02-23 16:52:45.495  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469287)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:45.495+00:00"""
"""2022-02-23 16:52:45.271  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469263)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:45.271+00:00"""
"""2022-02-23 16:52:45.023  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469259)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:45.023+00:00"""
"""2022-02-23 16:52:44.799  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469256)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:44.800+00:00"""
"""2022-02-23 16:52:44.572  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469205)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:44.572+00:00"""
"""2022-02-23 16:52:44.354  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469201)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:44.354+00:00"""
"""2022-02-23 16:52:44.131  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469199)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:44.132+00:00"""
"""2022-02-23 16:52:43.910  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469187)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:43.910+00:00"""
"""2022-02-23 16:52:43.689  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469172)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:43.690+00:00"""
"""2022-02-23 16:52:43.464  INFO 1 --- [io-8080-exec-10] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469171)\""}]\n""",Get Subscription & Device Error 404  ,"""2022-02-23T16:52:43.465+00:00"""
