,ID,APPLICATION,LOGZIO_PROJECT,ENVIRONMENT,PATTERN,STATUS,IMPACT,URGENCY,PRIORITY,THRESHOLD_IMPACT,THRESHOLD_URGENCY,IMPACT_CHANGE_FLAG,URGENCY_CHANGE_FLAG,PRIORITY_CHANGE_FLAG,LAST_MODIFIED_BY,START_DTTM,ERROR_DESC
49,30efe186-722d-4f7f-a89a-7c1f0757646c,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get Subscription & Device Error 404,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:27.076,
50,09f0d781-3864-4e1c-b0b5-ca44dbb431ee,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get User operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:00.406,
51,e841fc58-6a2f-4639-83a5-92c7fefee8b8,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get Device operation failed,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:51.602,
52,80790434-e894-48d4-8486-2a430d79d4cd,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create device operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:02.154,
53,56e14cb8-fb70-4884-b422-7cd03a02aa4e,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get Subscription usage operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:55.097,
54,a9b3c030-6727-43e6-821c-3fb6c1a4cd25,iAPI,Wireless Revenue Management Prod,PRODUCTION,Post a payment Error 400,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:40.067,
55,de727717-a1f5-4270-b348-27113dd5f72f,iAPI,Wireless Revenue Management Prod,PRODUCTION,Exception in resumeSubscription service -,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:55.924,
56,e6bdbcc7-2907-4e30-8e66-0f495e474d6b,iAPI,Wireless Revenue Management Prod,PRODUCTION,Exception in suspendSubscription service -,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:04.777,
57,e91e1bfa-6119-4682-933e-ed27fc3bbc08,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Account Error 400,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:32.009,
58,bdb1f0c8-99f7-40a0-ab0e-c423208f0c01,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Account Error 500,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:31.078,
59,049885e2-ce6b-4560-8c7a-b1b0ce320dd5,iAPI,Wireless Revenue Management Prod,PRODUCTION,create subscriber error existing subscription doe,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:12.080,
60,0b6fc7ff-7cd1-411c-a6af-7638b06393ec,iAPI,Wireless Revenue Management Prod,PRODUCTION,optima billing insights error mandatory parameter,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:19.741,
61,3e4490d6-3860-45de-b9d6-8109c3321173,iAPI,Wireless Revenue Management Prod,PRODUCTION,create account error invalid parameter,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:16.083,
62,88d75a4f-6f0a-4611-9456-1dbde5528c2e,iAPI,Wireless Revenue Management Prod,PRODUCTION,request required format yyyy mm ddthh,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:22.444,
63,5de62912-0d92-4bea-a646-21789d786cff,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Service on account error 400,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:23.069,
64,550eafb5-28be-4828-accf-4693959d8395,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create subscription operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:50.728,
